iteration,gaussian_count
1,182686
2,182686
3,182686
4,182686
5,182686
6,182686
7,182686
8,182686
9,182686
10,182686
11,182686
12,182686
13,182686
14,182686
15,182686
16,182686
17,182686
18,182686
19,182686
20,182686
21,182686
22,182686
23,182686
24,182686
25,182686
26,182686
27,182686
28,182686
29,182686
30,182686
31,182686
32,182686
33,182686
34,182686
35,182686
36,182686
37,182686
38,182686
39,182686
40,182686
41,182686
42,182686
43,182686
44,182686
45,182686
46,182686
47,182686
48,182686
49,182686
50,182686
51,182686
52,182686
53,182686
54,182686
55,182686
56,182686
57,182686
58,182686
59,182686
60,182686
61,182686
62,182686
63,182686
64,182686
65,182686
66,182686
67,182686
68,182686
69,182686
70,182686
71,182686
72,182686
73,182686
74,182686
75,182686
76,182686
77,182686
78,182686
79,182686
80,182686
81,182686
82,182686
83,182686
84,182686
85,182686
86,182686
87,182686
88,182686
89,182686
90,182686
91,182686
92,182686
93,182686
94,182686
95,182686
96,182686
97,182686
98,182686
99,182686
100,182686
101,182686
102,182686
103,182686
104,182686
105,182686
106,182686
107,182686
108,182686
109,182686
110,182686
111,182686
112,182686
113,182686
114,182686
115,182686
116,182686
117,182686
118,182686
119,182686
120,182686
121,182686
122,182686
123,182686
124,182686
125,182686
126,182686
127,182686
128,182686
129,182686
130,182686
131,182686
132,182686
133,182686
134,182686
135,182686
136,182686
137,182686
138,182686
139,182686
140,182686
141,182686
142,182686
143,182686
144,182686
145,182686
146,182686
147,182686
148,182686
149,182686
150,182686
151,182686
152,182686
153,182686
154,182686
155,182686
156,182686
157,182686
158,182686
159,182686
160,182686
161,182686
162,182686
163,182686
164,182686
165,182686
166,182686
167,182686
168,182686
169,182686
170,182686
171,182686
172,182686
173,182686
174,182686
175,182686
176,182686
177,182686
178,182686
179,182686
180,182686
181,182686
182,182686
183,182686
184,182686
185,182686
186,182686
187,182686
188,182686
189,182686
190,182686
191,182686
192,182686
193,182686
194,182686
195,182686
196,182686
197,182686
198,182686
199,182686
200,182686
201,182686
202,182686
203,182686
204,182686
205,182686
206,182686
207,182686
208,182686
209,182686
210,182686
211,182686
212,182686
213,182686
214,182686
215,182686
216,182686
217,182686
218,182686
219,182686
220,182686
221,182686
222,182686
223,182686
224,182686
225,182686
226,182686
227,182686
228,182686
229,182686
230,182686
231,182686
232,182686
233,182686
234,182686
235,182686
236,182686
237,182686
238,182686
239,182686
240,182686
241,182686
242,182686
243,182686
244,182686
245,182686
246,182686
247,182686
248,182686
249,182686
250,182686
251,182686
252,182686
253,182686
254,182686
255,182686
256,182686
257,182686
258,182686
259,182686
260,182686
261,182686
262,182686
263,182686
264,182686
265,182686
266,182686
267,182686
268,182686
269,182686
270,182686
271,182686
272,182686
273,182686
274,182686
275,182686
276,182686
277,182686
278,182686
279,182686
280,182686
281,182686
282,182686
283,182686
284,182686
285,182686
286,182686
287,182686
288,182686
289,182686
290,182686
291,182686
292,182686
293,182686
294,182686
295,182686
296,182686
297,182686
298,182686
299,182686
300,182686
301,182686
302,182686
303,182686
304,182686
305,182686
306,182686
307,182686
308,182686
309,182686
310,182686
311,182686
312,182686
313,182686
314,182686
315,182686
316,182686
317,182686
318,182686
319,182686
320,182686
321,182686
322,182686
323,182686
324,182686
325,182686
326,182686
327,182686
328,182686
329,182686
330,182686
331,182686
332,182686
333,182686
334,182686
335,182686
336,182686
337,182686
338,182686
339,182686
340,182686
341,182686
342,182686
343,182686
344,182686
345,182686
346,182686
347,182686
348,182686
349,182686
350,182686
351,182686
352,182686
353,182686
354,182686
355,182686
356,182686
357,182686
358,182686
359,182686
360,182686
361,182686
362,182686
363,182686
364,182686
365,182686
366,182686
367,182686
368,182686
369,182686
370,182686
371,182686
372,182686
373,182686
374,182686
375,182686
376,182686
377,182686
378,182686
379,182686
380,182686
381,182686
382,182686
383,182686
384,182686
385,182686
386,182686
387,182686
388,182686
389,182686
390,182686
391,182686
392,182686
393,182686
394,182686
395,182686
396,182686
397,182686
398,182686
399,182686
400,182686
401,182686
402,182686
403,182686
404,182686
405,182686
406,182686
407,182686
408,182686
409,182686
410,182686
411,182686
412,182686
413,182686
414,182686
415,182686
416,182686
417,182686
418,182686
419,182686
420,182686
421,182686
422,182686
423,182686
424,182686
425,182686
426,182686
427,182686
428,182686
429,182686
430,182686
431,182686
432,182686
433,182686
434,182686
435,182686
436,182686
437,182686
438,182686
439,182686
440,182686
441,182686
442,182686
443,182686
444,182686
445,182686
446,182686
447,182686
448,182686
449,182686
450,182686
451,182686
452,182686
453,182686
454,182686
455,182686
456,182686
457,182686
458,182686
459,182686
460,182686
461,182686
462,182686
463,182686
464,182686
465,182686
466,182686
467,182686
468,182686
469,182686
470,182686
471,182686
472,182686
473,182686
474,182686
475,182686
476,182686
477,182686
478,182686
479,182686
480,182686
481,182686
482,182686
483,182686
484,182686
485,182686
486,182686
487,182686
488,182686
489,182686
490,182686
491,182686
492,182686
493,182686
494,182686
495,182686
496,182686
497,182686
498,182686
499,182686
500,182686
501,182686
502,182686
503,182686
504,182686
505,182686
506,182686
507,182686
508,182686
509,182686
510,182686
511,182686
512,182686
513,182686
514,182686
515,182686
516,182686
517,182686
518,182686
519,182686
520,182686
521,182686
522,182686
523,182686
524,182686
525,182686
526,182686
527,182686
528,182686
529,182686
530,182686
531,182686
532,182686
533,182686
534,182686
535,182686
536,182686
537,182686
538,182686
539,182686
540,182686
541,182686
542,182686
543,182686
544,182686
545,182686
546,182686
547,182686
548,182686
549,182686
550,182686
551,182686
552,182686
553,182686
554,182686
555,182686
556,182686
557,182686
558,182686
559,182686
560,182686
561,182686
562,182686
563,182686
564,182686
565,182686
566,182686
567,182686
568,182686
569,182686
570,182686
571,182686
572,182686
573,182686
574,182686
575,182686
576,182686
577,182686
578,182686
579,182686
580,182686
581,182686
582,182686
583,182686
584,182686
585,182686
586,182686
587,182686
588,182686
589,182686
590,182686
591,182686
592,182686
593,182686
594,182686
595,182686
596,182686
597,182686
598,182686
599,182686
600,183834
601,183834
602,183834
603,183834
604,183834
605,183834
606,183834
607,183834
608,183834
609,183834
610,183834
611,183834
612,183834
613,183834
614,183834
615,183834
616,183834
617,183834
618,183834
619,183834
620,183834
621,183834
622,183834
623,183834
624,183834
625,183834
626,183834
627,183834
628,183834
629,183834
630,183834
631,183834
632,183834
633,183834
634,183834
635,183834
636,183834
637,183834
638,183834
639,183834
640,183834
641,183834
642,183834
643,183834
644,183834
645,183834
646,183834
647,183834
648,183834
649,183834
650,183834
651,183834
652,183834
653,183834
654,183834
655,183834
656,183834
657,183834
658,183834
659,183834
660,183834
661,183834
662,183834
663,183834
664,183834
665,183834
666,183834
667,183834
668,183834
669,183834
670,183834
671,183834
672,183834
673,183834
674,183834
675,183834
676,183834
677,183834
678,183834
679,183834
680,183834
681,183834
682,183834
683,183834
684,183834
685,183834
686,183834
687,183834
688,183834
689,183834
690,183834
691,183834
692,183834
693,183834
694,183834
695,183834
696,183834
697,183834
698,183834
699,183834
700,189583
701,189583
702,189583
703,189583
704,189583
705,189583
706,189583
707,189583
708,189583
709,189583
710,189583
711,189583
712,189583
713,189583
714,189583
715,189583
716,189583
717,189583
718,189583
719,189583
720,189583
721,189583
722,189583
723,189583
724,189583
725,189583
726,189583
727,189583
728,189583
729,189583
730,189583
731,189583
732,189583
733,189583
734,189583
735,189583
736,189583
737,189583
738,189583
739,189583
740,189583
741,189583
742,189583
743,189583
744,189583
745,189583
746,189583
747,189583
748,189583
749,189583
750,189583
751,189583
752,189583
753,189583
754,189583
755,189583
756,189583
757,189583
758,189583
759,189583
760,189583
761,189583
762,189583
763,189583
764,189583
765,189583
766,189583
767,189583
768,189583
769,189583
770,189583
771,189583
772,189583
773,189583
774,189583
775,189583
776,189583
777,189583
778,189583
779,189583
780,189583
781,189583
782,189583
783,189583
784,189583
785,189583
786,189583
787,189583
788,189583
789,189583
790,189583
791,189583
792,189583
793,189583
794,189583
795,189583
796,189583
797,189583
798,189583
799,189583
800,196979
801,196979
802,196979
803,196979
804,196979
805,196979
806,196979
807,196979
808,196979
809,196979
810,196979
811,196979
812,196979
813,196979
814,196979
815,196979
816,196979
817,196979
818,196979
819,196979
820,196979
